;ID;Pays;INT02;Q1;Q2;Q3;Q4;Q5;Q6;INT04;V_ACCORD;V6;V7_1;V7_2;V8;V9;V10;V11;V12;V13;V14_1;V14_2;V14_3;V14_4;V14_4_PRE;V14_4_TRANS;V14_1R;V14_2R;V14_3R;V15_1;V15_2;V15_3;V20;V21_1;V21_2;V21_3;V21_4;V21_5;V21_6;V21_7;V21_8;V21_9;V21_10;V21_11;V22_1;V22_2;V22_3;V22_4;V22_5;V23C1;V23C2;V23C3;V23C4;V23C5;V23C6;V23C7;V23C8;V23C9;V23C10;V23C11;V23C12;V23C12O;V23C12O_TRANS;V23C13;V23C13O;V23C13O_TRANS;V23C14;V23C14O;V23C14O_TRANS;V23C15;V23C16;V23C17;V24;V25;V26;V26O;V26O8_TRANS;V27;V28;V29;V30;V31;V31_1;V32;V32_PRE;V33;V34;V35;V35_1;TEST_REVENU;V36;V37;V38;V39;V40;V40_1;V40_2;V41;TEST_FIXE;V42;TEST_MOBILE;V42_1;REMARQUE;REMARQUEO
5375;SU_447;SU;6;1;NA;NA;1;NA;NA; ;1;9999998;30;50;2;2;1;4;3;4;1;1;1;1;TAR MED KLäDER OCH MAT SOM DEM SJäLVA INTE TYCKER ATT DEM BEHöVER;;2;1;2;1;1;1;1;1;1;4;4;1;2;2;1;4;1;1;4;4;2;2;1;0;1;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;4;11;Alla;All.;3;3;NA;2;1959;NA;170; ;2;5;99999999;6;NA;1;2;5;0;NA;66131;2;0;NA;4;NA;1;1;NA
5376;SU_448;SU;6;1;NA;NA;1;NA;NA; ;1;100000;50;40;4;4;1;4;1;4;1;2;2;1;HELP PERSONALY;;1;1;2;1;2;1;1;2;1;4;4;1;4;2;2;4;4;1;4;2;2;3;1;0;1;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;1; ;;3;3;NA;2;1961;NA;170; ;3;7;22500;NA;NA;4;3;3;1;NA;61633;2;0;NA;4;NA;1;1;NA
5377;SU_449;SU;6;1;NA;NA;1;NA;NA; ;1;500;30;40;3;3;6;1;2;4;1;1;2;2; ;;1;1;1;2;2;1;1;4;1;4;1;1;4;1;1;4;1;1;1;1;6;6;6;1;0;0;0;1;0;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;1; ;;3;3;NA;1;1959;NA;170; ;5;5;99999999;12;NA;3;1;0;NA;NA;KARLSTAD;1;0;NA;1;NA;1;1;NA
5378;SU_450;SU;6;1;NA;NA;1;NA;NA; ;1;10000;30;40;2;5;2;6;1;4;2;1;2;2; ;;1;1;2;2;1;1;1;1;1;4;4;6;4;4;1;4;4;1;4;4;1;1;6;1;0;0;0;0;0;1;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;Unga och Familjer ska prioriteras;Young and Families should be given priority;3;3;NA;2;1945;NA;170; ;3;5;62500;11;NA;1;2;2;0;NA;ÖREBRO;1;0;NA;2;NA;1;1;NA
5379;SU_451;SU;6;1;NA;NA;1;NA;NA; ;1;50000;70;80;3;3;2;4;1;1;1;2;2;2; ;;1;1;2;2;1;2;2;1;1;4;3;1;2;4;4;4;1;1;3;3;5;5;5;1;0;0;0;0;1;0;0;1;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;Dem som vill förbättra sig själva.;Those who want to improve themselves.;3;3;NA;1;1997;NA;174; ;5;4;70000;12;NA;5;3;0;NA;NA;VILL EJ UPPGE.;2;98;NA;98;NA;3;1;NA
5380;SU_452;SU;6;1;NA;NA;1;NA;NA; ;1;100000;25;25;2;2;6;6;1;4;1;1;2;2; ;;1;1;2;2;2;1;1;1;1;4;1;1;4;1;1;1;4;1;1;1;1;4;4;0;1;0;0;0;1;0;0;0;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;6;11;Alla;All.;3;3;NA;1;1977;NA;170; ;4;1;85000;11;NA;4;3;1;0;NA;SIGTUNA;2;0;NA;3;NA;1;1;NA
5381;SU_453;SU;6;1;NA;NA;1;NA;NA; ;1;2000;4;90;3;5;4;NA;1;6;2;2;2;2; ;;1;1;1;2;2;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;0;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;studenter;students;3;3;NA;1;1948;NA;93; ;3;5;88000;NA;NA;1;3;1;0;NA;14149;1;1;NA;2;NA;1;1;NA
5382;SU_454;SU;6;1;NA;NA;1;NA;NA; ;1;25000;5;20;3;2;4;NA;1;4;2;2;2;2; ;;1;2;2;1;1;1;1;1;1;3;2;1;4;2;1;2;1;1;4;4;1;2;2;0;0;0;0;0;1;0;0;1;1;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;11;Invandrare.;Immigrant.;4;3;NA;1;NA;56;170; ;4;5;180000;NA;NA;2;1;1;0;NA;VäSTRA GöTALAND;2;1;NA;2;NA;1;1;NA
5383;SU_455;SU;6;1;NA;NA;1;NA;NA; ;1;1000;50;10;1;1;4;NA;1;4;1;2;2;2; ;;1;1;4;2;1;2;1;3;2;4;1;1;4;2;1;1;1;3;2;3;4;1;1;1;0;0;0;0;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;10; ;;3;3;NA;2;1951;NA;170; ;4;5;99999999;11;NA;1;3;4;0;81340; ;3;1;NA;3;NA;1;1;NA
5384;SU_456;SU;6;1;NA;NA;1;NA;NA; ;1;9999998;20;40;2;2;4;NA;2;2;1;1;2;2; ;;1;1;2;1;1;1;1;1;1;3;3;1;2;2;2;1;1;1;1;1;2;1;1;0;0;0;0;1;1;0;1;0;0;0;0; ; ;0; ; ;0; ; ;0;0;0;1;1;1; ;;3;3;NA;1;1976;NA;170; ;3;6;99999999;11;NA;5;1;0;NA;NA;MARIEFRED;2;0;NA;1;NA;1;1;NA
